Vload_(V)	ILoad_(A)	RsLoad_(ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	(Carrier_Density+Doping)/qWni^2_(cm^2/C)	Carrier_Density_at_Vmp_(cm-3)	Lifetime_at_Vmp_(s)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
0	0	0	40.339038	4.603137	36.197119	4.603137	8.855267E+13	6.77586E-5	14758.262082	1.156763E+16	0	0	12.793903	0.842174	0	0
0	0	0	40.220612	4.633827	35.960025	4.633827	8.324056E+13	6.719579E-5	14881.872313	1.154272E+16	0	0	12.765829	0.833871	0	0
0	0	0	40.100895	4.662328	35.721492	4.662328	7.818476E+13	6.651044E-5	15035.222608	1.1519E+16	0	0	12.735468	0.825871	0	0
0	0	0	39.982649	4.689204	35.486001	4.689204	7.348408E+13	6.58528E-5	15185.374763	1.149696E+16	0	0	12.70491	0.817792	0	0
0	0	0	39.865725	4.714707	35.253155	4.714707	6.910656E+13	6.52388E-5	15328.293898	1.147643E+16	0	0	12.67217	0.809888	0	0
0	0	0	39.749505	4.738488	35.022294	4.738488	6.50073E+13	6.458667E-5	15483.064876	1.14572E+16	0	0	12.650929	0.802001	0	0
0	0	0	39.633447	4.761381	34.79171	4.761381	6.115069E+13	6.398475E-5	15628.718069	1.143912E+16	0	0	12.604196	0.794113	0	0
0	0	0	39.517618	4.782994	34.561981	4.782994	5.752468E+13	6.337105E-5	15780.071203	1.142211E+16	0	0	12.567569	0.786369	0	0
0	0	0	39.403782	4.803025	34.336673	4.803025	5.416617E+13	6.274373E-5	15937.842833	1.140636E+16	0	0	12.527433	0.778897	0	0
0	0	0	39.289097	4.821825	34.110399	4.821825	5.097687E+13	6.204815E-5	16116.511664	1.13914E+16	0	0	12.479093	0.771561	0	0
0	0	0	39.172827	4.839758	33.881503	4.839758	4.793152E+13	6.131118E-5	16310.23389	1.137712E+16	0	0	12.436003	0.764353	0	0
0	0	0	39.060052	4.856663	33.659369	4.856663	4.514853E+13	6.066246E-5	16484.656322	1.136407E+16	0	0	12.387234	0.757136	0	0
0	0	0	38.948274	4.872427	33.439695	4.872427	4.254691E+13	5.998656E-5	16670.39889	1.135187E+16	0	0	12.340255	0.750024	0	0
0	0	0	38.836774	4.887209	33.221068	4.887209	4.009872E+13	5.927648E-5	16870.094479	1.134039E+16	0	0	12.287137	0.742959	0	0
0	0	0	38.726221	4.901266	33.004458	4.901266	3.780833E+13	5.859265E-5	17066.984865	1.132964E+16	0	0	12.234821	0.736007	0	0
0	0	0	38.61508	4.914705	32.786999	4.914705	3.563572E+13	5.790172E-5	17270.643342	1.131946E+16	0	0	12.179596	0.729102	0	0
0	0	0	38.50572	4.927466	32.573095	4.927466	3.361817E+13	5.725839E-5	17464.686582	1.130999E+16	0	0	12.126685	0.722102	0	0
0	0	0	38.395445	4.939353	32.358132	4.939353	3.169792E+13	5.652752E-5	17690.497911	1.130099E+16	0	0	12.064303	0.715261	0	0
0	0	0	38.284598	4.950903	32.142111	4.950903	2.987689E+13	5.583214E-5	17910.828852	1.129245E+16	0	0	12.005847	0.708436	0	0
0	0	0	38.174813	4.961651	31.928612	4.961651	2.817527E+13	5.510848E-5	18146.025319	1.128447E+16	0	0	11.947057	0.701763	0	0
0	0	0	38.065616	4.971744	31.716629	4.971744	2.657788E+13	5.436605E-5	18393.830745	1.127698E+16	0	0	11.882591	0.695162	0	0
0	0	0	37.956795	4.981338	31.505614	4.981338	2.507516E+13	5.362777E-5	18647.054748	1.126993E+16	0	0	11.819143	0.688753	0	0
0	0	0	37.84781	4.990723	31.294229	4.990723	2.365452E+13	5.294781E-5	18886.523202	1.126327E+16	0	0	11.752202	0.68236	0	0
0	0	0	37.739577	4.9995	31.084688	4.9995	2.232261E+13	5.224418E-5	19140.887855	1.125702E+16	0	0	11.686339	0.676103	0	0
0	0	0	37.631327	5.007972	30.875213	5.007972	2.106487E+13	5.156982E-5	19391.187037	1.125112E+16	0	0	11.61456	0.669909	0	0
0	0	0	37.522734	5.015955	30.665473	5.015955	1.987376E+13	5.085971E-5	19661.926636	1.124553E+16	0	0	11.543196	0.6637	0	0
0	0	0	37.414828	5.023386	30.457469	5.023386	1.875639E+13	5.011509E-5	19954.071012	1.124029E+16	0	0	11.473692	0.657506	0	0
0	0	0	37.305157	5.030435	30.246498	5.030435	1.768463E+13	4.93125E-5	20278.835491	1.123527E+16	0	0	11.40015	0.651465	0	0
0	0	0	37.196091	5.037482	30.036383	5.037482	1.66791E+13	4.862924E-5	20563.757186	1.123055E+16	0	0	11.327327	0.645479	0	0
0	0	0	37.087253	5.044064	29.827101	5.044064	1.573231E+13	4.79094E-5	20872.732294	1.122611E+16	0	0	11.265286	0.638934	0	0
0	0	0	36.97933	5.050438	29.619566	5.050438	1.484623E+13	4.724622E-5	21165.715637	1.122196E+16	0	0	11.191543	0.632861	0	0
0	0	0	36.870068	5.056277	29.41013	5.056277	1.399968E+13	4.646838E-5	21520.00978	1.121799E+16	0	0	11.107913	0.627131	0	0
0	0	0	36.76092	5.06187	29.20106	5.06187	1.320196E+13	4.570316E-5	21880.325189	1.121424E+16	0	0	11.028985	0.621177	0	0
0	0	0	36.651249	5.067276	28.991107	5.067276	1.244595E+13	4.495307E-5	22245.419979	1.12107E+16	0	0	10.947982	0.615367	0	0
0	0	0	36.541251	5.072567	28.780532	5.072567	1.173097E+13	4.424729E-5	22600.252576	1.120735E+16	0	0	10.86649	0.609789	0	0
0	0	0	36.430764	5.077385	28.569593	5.077385	1.105395E+13	4.344582E-5	23017.172908	1.120417E+16	0	0	10.785655	0.604139	0	0
0	0	0	36.31861	5.082204	28.355406	5.082204	1.040651E+13	4.269556E-5	23421.637457	1.120113E+16	0	0	10.695377	0.598609	0	0
0	0	0	36.207486	5.086808	28.143276	5.086808	9.802257E+12	4.197612E-5	23823.068074	1.11983E+16	0	0	10.610355	0.593111	0	0
0	0	0	36.096917	5.091151	27.932421	5.091151	9.235719E+12	4.125255E-5	24240.924099	1.119564E+16	0	0	10.525597	0.587685	0	0
0	0	0	35.986184	5.095218	27.721552	5.095218	8.701042E+12	4.049696E-5	24693.212604	1.119314E+16	0	0	10.435062	0.582386	0	0
0	0	0	35.875011	5.099263	27.509755	5.099263	8.195265E+12	3.980635E-5	25121.620381	1.119076E+16	0	0	10.340465	0.577096	0	0
0	0	0	35.763412	5.10302	27.297504	5.10302	7.717027E+12	3.906517E-5	25598.251387	1.118852E+16	0	0	10.249879	0.571917	0	0
0	0	0	35.650671	5.106611	27.083279	5.106611	7.262136E+12	3.830782E-5	26104.332338	1.118639E+16	0	0	10.159458	0.566851	0	0
0	0	0	35.538468	5.110005	26.87025	5.110005	6.835969E+12	3.755169E-5	26629.962507	1.118439E+16	0	0	10.069844	0.561784	0	0
0	0	0	35.422852	5.113342	26.650882	5.113342	6.422911E+12	3.677893E-5	27189.48333	1.118245E+16	0	0	9.967884	0.556917	0	0
0	0	0	35.308346	5.116441	26.433852	5.116441	6.038365E+12	3.599444E-5	27782.069929	1.118065E+16	0	0	9.870949	0.551995	0	0
0	0	0	35.19415	5.119591	26.217189	5.119591	5.677737E+12	3.531669E-5	28315.227126	1.117896E+16	0	0	9.777045	0.547112	0	0
0	0	0	35.078616	5.122554	25.998261	5.122554	5.334744E+12	3.459821E-5	28903.227631	1.117735E+16	0	0	9.679568	0.542285	0	0
0	0	0	34.962591	5.125095	25.779068	5.125095	5.011103E+12	3.37329E-5	29644.65353	1.117583E+16	0	0	9.571651	0.537394	0	0
