Voltage	Current	Temperature
33.010693	0.006234	22.479199
33.061382	0.006307	22.479639
33.111835	0.006383	22.474023
33.162212	0.006458	22.482568
33.212585	0.006539	22.474316
33.262997	0.006614	22.479346
33.313461	0.006693	22.484131
33.363811	0.006772	22.484424
33.414204	0.006856	22.482812
33.464588	0.006943	22.479150
33.510624	0.007014	22.480957
33.560963	0.007100	22.485742
33.611382	0.007185	22.473828
33.661816	0.007271	22.476270
33.712124	0.007357	22.472559
33.762619	0.007450	22.480908
33.812977	0.007536	22.482959
33.863403	0.007635	22.480029
33.913811	0.007726	22.482812
33.964211	0.007820	22.483398
34.009968	0.007907	22.473584
34.060288	0.008007	22.481836
34.110596	0.008103	22.476074
34.161007	0.008202	22.481738
34.211346	0.008303	22.485937
34.261730	0.008407	22.482080
34.312141	0.008509	22.483594
34.362415	0.008615	22.486426
34.412891	0.008726	22.476318
34.463238	0.008833	22.480908
34.509014	0.008932	22.479932
34.559429	0.009045	22.479150
34.609760	0.009151	22.480371
34.660301	0.009268	22.481006
34.710678	0.009387	22.481934
34.761139	0.009506	22.487061
34.811436	0.009622	22.485693
34.861866	0.009744	22.477441
34.912178	0.009871	22.484619
34.962532	0.009990	22.477832
35.008347	0.010108	22.482324
35.058624	0.010240	22.477393
35.108978	0.010365	22.485596
35.159309	0.010497	22.475488
35.209702	0.010634	22.484814
35.260231	0.010767	22.482275
35.310623	0.010909	22.478271
35.361011	0.011052	22.478955
35.411362	0.011191	22.470996
35.461643	0.011334	22.478955
35.507423	0.011468	22.485059
