Voltage	Current	Temperature
33.010151	0.006291	22.775244
33.060726	0.006363	22.768311
33.111176	0.006442	22.758105
33.161526	0.006518	22.774951
33.211960	0.006601	22.771289
33.262234	0.006680	22.763770
33.312736	0.006758	22.768115
33.363090	0.006838	22.764600
33.413483	0.006924	22.766260
33.463860	0.007004	22.764990
33.509838	0.007086	22.757422
33.560230	0.007173	22.764258
33.610657	0.007255	22.768506
33.661045	0.007343	22.771045
33.711494	0.007431	22.766797
33.761852	0.007524	22.773730
33.812195	0.007615	22.767773
33.862572	0.007712	22.762305
33.912983	0.007804	22.766064
33.963352	0.007900	22.779297
34.009113	0.007986	22.771045
34.059513	0.008086	22.776563
34.109833	0.008187	22.774756
34.160107	0.008283	22.777930
34.210526	0.008384	22.775586
34.260971	0.008492	22.764600
34.311390	0.008601	22.774902
34.361557	0.008703	22.772461
34.412056	0.008808	22.762402
34.462364	0.008926	22.758496
34.508114	0.009026	22.769141
34.558567	0.009133	22.770947
34.608887	0.009251	22.775439
34.659378	0.009367	22.761377
34.709751	0.009486	22.778613
34.760201	0.009603	22.763330
34.810471	0.009725	22.771094
34.860916	0.009850	22.771826
34.911171	0.009976	22.772119
34.961494	0.010100	22.775977
35.007278	0.010217	22.770117
35.057655	0.010348	22.773242
35.107971	0.010481	22.768945
35.158360	0.010614	22.769531
35.208767	0.010745	22.773193
35.259266	0.010886	22.774561
35.309669	0.011028	22.768408
35.359970	0.011168	22.767773
35.410385	0.011310	22.767041
35.460609	0.011461	22.765576
35.506374	0.011593	22.762305
