Voltage	Current	Temperature
33.011539	0.006248	22.516162
33.062164	0.006325	22.524072
33.112640	0.006402	22.521826
33.163017	0.006481	22.517822
33.213459	0.006555	22.519043
33.263786	0.006635	22.516650
33.314304	0.006712	22.523877
33.364681	0.006793	22.517920
33.415062	0.006873	22.520654
33.465508	0.006956	22.530908
33.511509	0.007033	22.517725
33.561890	0.007117	22.521729
33.612270	0.007205	22.518311
33.662853	0.007295	22.522754
33.713135	0.007382	22.522803
33.763569	0.007464	22.522607
33.813904	0.007563	22.522363
33.864346	0.007658	22.513135
33.914703	0.007744	22.517529
33.965179	0.007843	22.520850
34.010963	0.007928	22.513770
34.061340	0.008026	22.515967
34.111633	0.008125	22.519824
34.162010	0.008226	22.518311
34.212421	0.008333	22.520898
34.262886	0.008431	22.514160
34.313301	0.008537	22.520947
34.363579	0.008641	22.517187
34.414013	0.008747	22.508154
34.464382	0.008855	22.520947
34.510201	0.008956	22.516846
34.560650	0.009066	22.520068
34.611011	0.009179	22.516406
34.661480	0.009291	22.520996
34.711937	0.009410	22.517822
34.762413	0.009534	22.513428
34.812740	0.009652	22.525000
34.863144	0.009776	22.520508
34.913490	0.009899	22.513672
34.963802	0.010022	22.512305
35.009670	0.010141	22.525684
35.059986	0.010268	22.522412
35.110420	0.010397	22.515332
35.160812	0.010532	22.524854
35.211163	0.010666	22.517725
35.261753	0.010800	22.520215
35.312130	0.010942	22.518066
35.362503	0.011079	22.506885
35.412945	0.011223	22.523535
35.463196	0.011370	22.509912
35.509087	0.011502	22.514502
