Voltage	Current	Temperature
33.010597	0.006281	22.717822
33.061199	0.006358	22.713965
33.111683	0.006433	22.714648
33.162037	0.006512	22.719775
33.212429	0.006587	22.712012
33.262783	0.006667	22.720215
33.313225	0.006748	22.716357
33.363701	0.006826	22.730176
33.414066	0.006909	22.712939
33.464424	0.006995	22.711133
33.510391	0.007069	22.715381
33.560818	0.007155	22.709570
33.611237	0.007245	22.716357
33.661636	0.007332	22.726758
33.712025	0.007419	22.724805
33.762383	0.007509	22.719385
33.812752	0.007602	22.719141
33.863178	0.007696	22.719971
33.913559	0.007789	22.721387
33.964020	0.007886	22.709814
34.009804	0.007972	22.718408
34.060093	0.008072	22.720947
34.110432	0.008171	22.725879
34.160782	0.008267	22.720508
34.211193	0.008373	22.714502
34.261623	0.008475	22.718555
34.312019	0.008581	22.713330
34.362293	0.008688	22.719678
34.412735	0.008795	22.723682
34.463116	0.008907	22.718506
34.508816	0.009004	22.722461
34.559307	0.009119	22.714307
34.609604	0.009235	22.721924
34.660122	0.009351	22.721338
34.710465	0.009466	22.714209
34.760872	0.009588	22.716113
34.811230	0.009709	22.716113
34.861664	0.009833	22.719580
34.911980	0.009957	22.717432
34.962357	0.010078	22.717090
35.008152	0.010198	22.723145
35.058498	0.010326	22.717236
35.108818	0.010459	22.718359
35.159214	0.010595	22.718164
35.209530	0.010728	22.718848
35.260155	0.010867	22.717139
35.310543	0.011004	22.719238
35.360825	0.011151	22.717334
35.411228	0.011292	22.706494
35.461540	0.011439	22.717627
35.507328	0.011570	22.728174
