Voltage	Current	Temperature
-0.005165	-0.000014	23.727979
1.155806	-0.000010	23.717920
2.316450	-0.000002	23.720410
3.477623	-0.000002	23.710107
4.633852	0.000008	23.724805
5.795341	0.000010	23.728369
6.956719	0.000017	23.715137
8.118491	0.000032	23.724805
9.279950	0.000036	23.718262
10.441540	0.000058	23.737012
11.602789	0.000066	23.727295
12.759861	0.000088	23.717578
13.920552	0.000108	23.750439
15.081535	0.000140	23.709570
16.241857	0.000177	23.713477
17.402668	0.000225	23.722266
18.563053	0.000286	23.720801
19.724157	0.000364	23.736572
20.884836	0.000463	23.715088
22.041670	0.000587	23.705957
23.202459	0.000745	23.720947
24.363905	0.000948	23.728271
25.524897	0.001212	23.707715
26.686270	0.001556	23.732227
27.847361	0.001996	23.712891
29.008652	0.002574	23.721143
30.165111	0.003327	23.706641
31.326195	0.004325	23.727441
32.486252	0.005651	23.722363
33.646358	0.007456	23.733350
34.805378	0.009927	23.735205
35.964470	0.013368	23.733203
37.122845	0.018221	23.737402
38.276493	0.025117	23.735205
39.433292	0.035081	23.728564
40.588570	0.049620	23.725635
41.740574	0.071056	23.723828
42.888344	0.102942	23.739453
44.028992	0.150583	23.744580
45.159889	0.222149	23.745215
46.270718	0.329105	23.755859
47.364025	0.488870	23.765039
48.426006	0.721124	23.772217
49.448334	1.046072	23.781543
50.423668	1.478181	23.779346
51.350590	2.023520	23.865771
52.230846	2.677830	23.913916
53.069618	3.431074	23.942334
53.869095	4.266401	24.040479
54.640816	5.177085	24.111523
55.386551	6.148328	24.184570
