Voltage	Current	Temperature
33.011223	0.006232	22.461768
33.061848	0.006304	22.464990
33.112305	0.006382	22.454199
33.162716	0.006456	22.459033
33.213104	0.006533	22.454150
33.263462	0.006610	22.458887
33.313881	0.006694	22.451367
33.364288	0.006767	22.448047
33.414696	0.006854	22.448828
33.465031	0.006936	22.463770
33.511024	0.007013	22.452441
33.561470	0.007096	22.455518
33.611919	0.007184	22.462061
33.662373	0.007271	22.461084
33.712715	0.007354	22.454248
33.763092	0.007444	22.455859
33.813492	0.007537	22.455713
33.863972	0.007632	22.462939
33.914299	0.007725	22.465625
33.964733	0.007814	22.463184
34.010521	0.007903	22.470898
34.060905	0.007999	22.452783
34.111221	0.008101	22.451807
34.161594	0.008198	22.459277
34.211952	0.008302	22.451904
34.262367	0.008404	22.459766
34.312801	0.008505	22.459717
34.363090	0.008614	22.455566
34.413559	0.008722	22.458008
34.463943	0.008830	22.460596
34.509686	0.008927	22.463281
34.560104	0.009040	22.455518
34.610462	0.009153	22.457764
34.660946	0.009268	22.453320
34.711357	0.009384	22.453271
34.761810	0.009501	22.457324
34.812122	0.009622	22.465186
34.862568	0.009742	22.458350
34.912903	0.009865	22.461670
34.963245	0.009992	22.460400
35.009098	0.010103	22.452881
35.059399	0.010236	22.459082
35.109837	0.010359	22.456689
35.160152	0.010500	22.459863
35.210564	0.010627	22.454541
35.261086	0.010766	22.456055
35.311523	0.010904	22.456396
35.361828	0.011046	22.456055
35.412197	0.011185	22.457471
35.462601	0.011333	22.451709
35.508381	0.011465	22.455957
