Voltage	Current	Temperature
33.010452	0.006282	22.718115
33.061058	0.006353	22.704102
33.111546	0.006432	22.713721
33.161934	0.006507	22.704590
33.212318	0.006589	22.705957
33.262703	0.006660	22.710986
33.313103	0.006745	22.717773
33.363506	0.006825	22.711182
33.413872	0.006907	22.711377
33.464272	0.006992	22.714941
33.510227	0.007071	22.712061
33.560619	0.007155	22.714404
33.611069	0.007241	22.712451
33.661472	0.007327	22.715625
33.711826	0.007419	22.719678
33.762226	0.007514	22.714062
33.812614	0.007600	22.721875
33.862999	0.007695	22.711328
33.913345	0.007787	22.717334
33.963699	0.007884	22.710156
34.009579	0.007970	22.720654
34.059887	0.008071	22.710010
34.110230	0.008172	22.711230
34.160545	0.008271	22.708936
34.210972	0.008370	22.711621
34.261417	0.008473	22.707666
34.311764	0.008578	22.710742
34.362000	0.008686	22.714014
34.412514	0.008793	22.711914
34.462841	0.008900	22.712061
34.508606	0.009005	22.714600
34.559059	0.009121	22.712256
34.609306	0.009229	22.709131
34.659821	0.009346	22.712207
34.710251	0.009467	22.714404
34.760586	0.009582	22.716504
34.810963	0.009703	22.713721
34.861309	0.009824	22.717529
34.911663	0.009957	22.705127
34.962048	0.010078	22.712500
35.007839	0.010197	22.709668
35.058147	0.010324	22.706641
35.108562	0.010463	22.718115
35.158924	0.010586	22.723193
35.209301	0.010726	22.709424
35.259823	0.010864	22.715137
35.310219	0.011002	22.709326
35.360535	0.011144	22.714648
35.410942	0.011289	22.711426
35.461216	0.011435	22.714893
35.507057	0.011570	22.714404
