Voltage	Current	Temperature
33.010140	0.006290	22.755908
33.060741	0.006365	22.737500
33.111202	0.006440	22.748193
33.161560	0.006516	22.750098
33.211983	0.006592	22.745850
33.262333	0.006670	22.743457
33.312782	0.006753	22.748291
33.363132	0.006831	22.747168
33.413590	0.006916	22.746436
33.463901	0.007001	22.747314
33.509945	0.007075	22.745410
33.560349	0.007165	22.758789
33.610733	0.007251	22.745117
33.661133	0.007337	22.735303
33.711529	0.007428	22.742969
33.761887	0.007518	22.736865
33.812279	0.007604	22.755029
33.862690	0.007702	22.742676
33.913013	0.007794	22.745166
33.963436	0.007891	22.750439
34.009197	0.007980	22.741016
34.059521	0.008074	22.744971
34.109890	0.008176	22.744385
34.160232	0.008278	22.742578
34.210663	0.008381	22.735303
34.261055	0.008482	22.747412
34.311439	0.008589	22.753809
34.361622	0.008695	22.742432
34.412098	0.008800	22.735254
34.462460	0.008913	22.746240
34.508194	0.009010	22.733740
34.558647	0.009124	22.745264
34.608955	0.009241	22.736572
34.659401	0.009356	22.740234
34.709808	0.009473	22.744580
34.760281	0.009595	22.749902
34.810558	0.009713	22.738428
34.861015	0.009836	22.746094
34.911255	0.009962	22.740527
34.961548	0.010086	22.738623
35.007416	0.010201	22.739697
35.057667	0.010335	22.733545
35.108093	0.010466	22.729492
35.158421	0.010603	22.741553
35.208744	0.010734	22.734180
35.259308	0.010879	22.741455
35.309654	0.011016	22.737012
35.360023	0.011156	22.749512
35.410397	0.011302	22.733252
35.460682	0.011445	22.740479
35.506432	0.011580	22.743262
