Vload_(V)	ILoad_(I)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(I)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)
0.00000	0.00000	0.00000	28.9153	6.28045	16.6859	6.28045	5837750000	0.00000120726	828323
0.00000	0.00000	0.00000	28.2179	6.28062	15.7927	6.28062	4400030000	0.000000990741	1009350
0.00000	0.00000	0.00000	27.5065	6.28101	14.8810	6.28101	3297550000	0.000000942206	1061340
0.00000	0.00000	0.00000	26.7875	6.28092	13.9606	6.28092	2463710000	0.000000662034	1510500
0.00000	0.00000	0.00000	26.0568	6.28080	13.0252	6.28080	1832000000	0.000000456675	2189740
0.00000	0.00000	0.00000	25.3260	6.28111	12.0889	6.28111	1362240000	0.000000415829	2404830
0.00000	0.00000	0.00000	24.5973	6.28111	11.1559	6.28111	1013770000	0.000000309485	3231170
0.00000	0.00000	0.00000	23.8688	6.28122	10.2228	6.28122	754505000	0.000000249923	4001240
0.00000	0.00000	0.00000	23.1306	6.28128	9.27760	6.28128	559365000	0.000000195248	5121700
0.00000	0.00000	0.00000	22.3910	6.28135	8.33046	6.28135	414448000	0.000000153853	6499700
0.00000	0.00000	0.00000	21.6744	6.28143	7.41263	6.28143	309940000	0.000000123699	8084170
0.00000	0.00000	0.00000	20.9617	6.28154	6.49986	6.28154	232162000	0.000000103226	9687460
0.00000	0.00000	0.00000	20.2606	6.28165	5.60186	6.28165	174718000	0.0000000884459	11306300
0.00000	0.00000	0.00000	19.5678	6.28180	4.71444	6.28180	131933000	0.0000000816260	12251000
0.00000	0.00000	0.00000	18.8808	6.28175	3.83504	6.28175	99862500	0.0000000569642	17554900
0.00000	0.00000	0.00000	18.2048	6.28168	2.96956	6.28168	75921600	0.0000000398131	25117400
0.00000	0.00000	0.00000	17.5453	6.28175	2.12495	6.28175	58108500	0.0000000331472	30168400
0.00000	0.00000	0.00000	16.8970	6.28189	1.29452	6.28189	44677800	0.0000000316628	31582800
