Make	Model	Serial_Number	Comment	Measurement_Date	Measurement_Time	Intensity_Actual_(suns)	Intensity_Set_(suns)	Vmp_(V)	pVmp_(V)	Voc_(V)	pVoc_(V)	Imp_(A)	pImp_(A)	Isc_(A)	pIsc_(A)	Pmp_(W)	pPmp_(W)	FF	pFF	Efficiency_(%)	pEfficiency_(%)	Rs_(Ohm)	Rsh_(Ohm)
PANASONIC	VBHN240SA11	R0WF6GF08410	X	20180627	HHMMSS	0.250	0.25	42.28718515793141	46.85688553466783	50.53897766888481	52.70912374425027	1.4277865201889393	1.4440772867035316	1.5221783171525076	1.5222592590391828	60.37707294522825	67.66496412628108	0.7848380878004623	0.8433142427541372	19.093095168464394	0.21397751441276497	3.6070026182864856	21795.97167713628
PANASONIC	VBHN240SA11	R0WF6GF08411	SHORTPULSE	20180627	HHMMSS	0.250	0.25	42.6824221892124	46.928606192096666	50.555421900254515	52.71694020830694	1.4072129195936878	1.4470878323299492	1.524484560754778	1.524551160231348	60.06325594421199	67.90981500878699	0.779324090783286	0.8449681704055318	18.963951113364004	0.21441368632103475	3.7396481834315387	21307.610887320276
PANASONIC	VBHN240SA11	R0WF6GF08411	X	20180627	HHMMSS	0.249	0.25	42.60843184142873	46.87602231367379	50.54792449571534	52.73382566819066	1.401940045916175	1.4432735122223526	1.5187549495573518	1.5187861393379503	59.73446689218881	67.65492136366935	0.778097388538726	0.8447213859152765	18.93662721168093	0.2144751751466497	3.8552240270073583	21176.201765782444
PANASONIC	VBHN240SA11	R0WF6GF08413	SHORTPULSE	20180627	HHMMSS	0.249	0.25	42.63713704433923	46.97650284527945	50.49949805536101	52.71597046867993	1.4043322135971779	1.4401893241394994	1.5200127502754555	1.5200662341356952	59.87670504692314	67.65505788318028	0.7800520835113424	0.8442975945951254	18.96478739778267	0.2142843010706259	3.7360383472683503	21801.05614962091
PANASONIC	VBHN240SA11	R0WF6GF08413	X	20180627	HHMMSS	0.250	0.25	42.58795293758299	46.848886486732184	50.47946228886696	52.6607485644712	1.4134163214844566	1.4514526597583637	1.5298426727631458	1.5299022819762578	60.19450778059171	67.99894089788509	0.7794627701656327	0.8440174541161843	18.974352586220206	0.21434445228606505	3.7339515361929134	20915.480994677997
PANASONIC	VBHN240SA11	R0WF6GF08414	SHORTPULSE	20180627	HHMMSS	0.250	0.25	42.556413481716945	46.8353046123934	50.49038532440152	52.666698440930304	1.406778800667834	1.4492304416764379	1.5260781194120887	1.5261579949526862	59.8674603185342	67.8751491894694	0.7769720287764711	0.8444524631351831	18.930106702661618	0.21462140030315408	3.858579251271287	19102.003449628723
PANASONIC	VBHN240SA11	R0WF6GF08414	X	20180627	HHMMSS	0.249	0.25	42.61274236248381	46.88574717613864	50.518844931131575	52.69499807434208	1.4046083817046333	1.4471164782100074	1.523033234453832	1.5230927121501974	59.85421508976486	67.84913733177855	0.7779146447708384	0.8453734363556463	18.944663930438786	0.21475164327074003	3.8566474214231996	20181.697087313838
PANASONIC	VBHN240SA11	R0WF6GF08414	X	20180914	HHMMSS	0.249	0.25	42.59605218824442	46.76945338984207	50.470948963950256	52.68799705658857	1.368977248041161	1.4127331434856385	1.485221047389629	1.4852549493118805	58.31302630208052	66.07275690653664	0.7779165574139112	0.8443251598452761	18.509370132376255	0.20972417156232764	3.875513487949745	18912.15460347263
PANASONIC	VBHN240SA11	R0WF6GF08410	X	20180917	HHMMSS	0.250	0.25	43.006791269089796	47.03042374438797	50.7287540236122	52.879645317681856	1.3883567100225078	1.4237136085487039	1.497058657482416	1.497097079928286	59.708767234978225	66.95785430069724	0.7862218190071819	0.84579094484267	18.83226695500247	0.21118643799200695	3.628104670280372	23315.382994294174
PANASONIC	VBHN240SA11	R0WF6GF08411	X	20180917	HHMMSS	0.249	0.25	42.75134090848525	46.84197531108423	50.407282762299985	52.640822107644645	1.3838339385753307	1.4147811690510643	1.4915457666755976	1.4916124026404922	59.1607564687658	66.27114459127684	0.7868715577298513	0.8440065606502645	18.74736856836	0.21000569418947174	3.6055440043962945	21855.0913592393
