Vload_(V)	ILoad_(A)	RsLoad_(ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	(Carrier_Density+Doping)/qWni^2_(cm^2/C)	Carrier_Density_at_Vmp_(cm-3)	Lifetime_at_Vmp_(s)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
0	0	0	15.814252	8.914504	11.086041	8.914504	1.698397E+8	7.77663E-8	1.285904E+7	5.824353E+16	0	0	6.859858	0.231288	0	0
0	0	0	15.54424	8.914169	10.793721	8.914169	1.42551E+8	5.355852E-8	1.867117E+7	5.824353E+16	0	0	6.773419	0.229385	0	0
0	0	0	15.273085	8.914494	10.49981	8.914494	1.195581E+8	5.439406E-8	1.838436E+7	5.824353E+16	0	0	6.670007	0.22749	0	0
0	0	0	15.001702	8.914908	10.205602	8.914908	1.00259E+8	6.235105E-8	1.603822E+7	5.824353E+16	0	0	6.579843	0.225683	0	0
0	0	0	14.729616	8.914829	9.910897	8.914829	8.403691E+7	4.884866E-8	2.047139E+7	5.824353E+16	0	0	6.468351	0.223971	0	0
0	0	0	14.45521	8.914928	9.613584	8.914928	7.033365E+7	4.451874E-8	2.246245E+7	5.824353E+16	0	0	6.37158	0.222219	0	0
0	0	0	14.182683	8.914958	9.318343	8.914958	5.893666E+7	3.832738E-8	2.609101E+7	5.824353E+16	0	0	6.282484	0.220428	0	0
0	0	0	13.90929	8.91481	9.022261	8.91481	4.935872E+7	2.823029E-8	3.542294E+7	5.824353E+16	0	0	6.197105	0.218613	0	0
0	0	0	13.635162	8.915027	8.725183	8.915027	4.131762E+7	2.87053E-8	3.483678E+7	5.824353E+16	0	0	6.110167	0.216813	0	0
0	0	0	13.361737	8.915342	8.42881	8.915342	3.460226E+7	3.49576E-8	2.860608E+7	5.824353E+16	0	0	6.024632	0.215277	0	0
0	0	0	13.091333	8.915263	8.135928	8.915263	2.903521E+7	2.634259E-8	3.796135E+7	5.824353E+16	0	0	5.949534	0.213581	0	0
0	0	0	12.821387	8.915411	7.843416	8.915411	2.437106E+7	2.733732E-8	3.658004E+7	5.824353E+16	0	0	5.867245	0.211933	0	0
0	0	0	12.549644	8.915737	7.548856	8.915737	2.043232E+7	4.774907E-8	2.094281E+7	5.824353E+16	0	0	5.792265	0.210102	0	0
0	0	0	12.281576	8.915441	7.258627	8.915441	1.717103E+7	2.021674E-8	4.946395E+7	5.824353E+16	0	0	5.697079	0.208477	0	0
0	0	0	12.014897	8.915717	6.969579	8.915717	1.444329E+7	3.167366E-8	3.157198E+7	5.824353E+16	0	0	5.603839	0.206925	0	0
0	0	0	11.747891	8.915224	6.680613	8.915224	1.21463E+7	1.048541E-8	9.537057E+7	5.824353E+16	0	0	5.516369	0.205332	0	0
0	0	0	11.483695	8.915579	6.39421	8.915579	1.023324E+7	1.567898E-8	6.377964E+7	5.824353E+16	0	0	5.434551	0.203692	0	0
0	0	0	11.221524	8.915697	6.110134	8.915697	8632827	1.783288E-8	5.607621E+7	5.824353E+16	0	0	5.348211	0.202076	0	0
0	0	0	10.961052	8.9155	5.82808	8.9155	7290739	9.5297E-9	1.049351E+8	5.824353E+16	0	0	5.267282	0.200468	0	0
0	0	0	10.701102	8.915628	5.546404	8.915628	6159384	1.057531E-8	9.455987E+7	5.824353E+16	0	0	5.180104	0.198891	0	0
0	0	0	10.44772	8.915599	5.271934	8.915599	5225803	8.366988E-9	1.195173E+8	5.824353E+16	0	0	5.086143	0.197419	0	0
0	0	0	10.194908	8.915756	4.997973	8.915756	4435370	1.109379E-8	9.01405E+7	5.824353E+16	0	0	5.00219	0.195866	0	0
0	0	0	9.945135	8.915727	4.727413	8.915727	3771921	8.534724E-9	1.171684E+8	5.824353E+16	0	0	4.920039	0.194345	0	0
0	0	0	9.6976	8.915618	4.459323	8.915618	3212371	5.385573E-9	1.856813E+8	5.824353E+16	0	0	4.834902	0.192761	0	0
0	0	0	9.453365	8.915766	4.194657	8.915766	2741691	7.107287E-9	1.407007E+8	5.824353E+16	0	0	4.746157	0.191328	0	0
0	0	0	9.211645	8.915963	3.932687	8.915963	2343797	2.236476E-8	4.47132E+7	5.824353E+16	0	0	4.662658	0.189839	0	0
0	0	0	8.971215	8.915973	3.672224	8.915973	2005326	2.209712E-8	4.525477E+7	5.824353E+16	0	0	4.582871	0.188366	0	0
0	0	0	8.734641	8.915914	3.415979	8.915914	1720030	9.826603E-9	1.017646E+8	5.824353E+16	0	0	4.491038	0.186981	0	0
0	0	0	8.501415	8.915658	3.16348	8.915658	1478531	2.736579E-9	3.654198E+8	5.824353E+16	0	0	4.404582	0.185444	0	0
0	0	0	8.271734	8.915766	2.914602	8.915766	1273865	3.302247E-9	3.028241E+8	5.824353E+16	0	0	4.31804	0.183995	0	0
0	0	0	8.043572	8.915806	2.667412	8.915806	1098613	3.333522E-9	2.99983E+8	5.824353E+16	0	0	4.229432	0.182634	0	0
