Vload_(V)	ILoad_(I)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(I)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)
0.00000	0.00000	0.00000	34.6137	9.43964	31.9914	9.43964	33506200000000	0.0000587401	17024.2
0.00000	0.00000	0.00000	34.5333	9.45739	31.9066	9.45739	31807800000000	0.0000583488	17138.3
0.00000	0.00000	0.00000	34.4536	9.47334	31.8231	9.47334	30210400000000	0.0000578294	17292.2
0.00000	0.00000	0.00000	34.3743	9.48946	31.7398	9.48946	28697500000000	0.0000574601	17403.4
0.00000	0.00000	0.00000	34.2957	9.50465	31.6576	9.50465	27275200000000	0.0000570858	17517.5
0.00000	0.00000	0.00000	34.2179	9.51808	31.5765	9.51808	25934700000000	0.0000565458	17684.8
0.00000	0.00000	0.00000	34.1395	9.53172	31.4949	9.53172	24651700000000	0.0000561258	17817.1
0.00000	0.00000	0.00000	34.0616	9.54520	31.4139	9.54520	23439700000000	0.0000558076	17918.7
0.00000	0.00000	0.00000	33.9839	9.55699	31.3334	9.55699	22289300000000	0.0000552787	18090.1
0.00000	0.00000	0.00000	33.9059	9.56831	31.2528	9.56831	21190800000000	0.0000547453	18266.4
0.00000	0.00000	0.00000	33.8295	9.58013	31.1737	9.58013	20168700000000	0.0000544747	18357.1
0.00000	0.00000	0.00000	33.7525	9.59006	31.0945	9.59006	19186900000000	0.0000538810	18559.4
0.00000	0.00000	0.00000	33.6767	9.60102	31.0162	9.60102	18267900000000	0.0000536540	18638.0
0.00000	0.00000	0.00000	33.6008	9.60986	30.9384	9.60986	17391400000000	0.0000530410	18853.3
0.00000	0.00000	0.00000	33.5251	9.62016	30.8604	9.62016	16559200000000	0.0000528708	18914.0
0.00000	0.00000	0.00000	33.4519	9.62816	30.7854	9.62816	15792100000000	0.0000523242	19111.6
0.00000	0.00000	0.00000	33.3782	9.63672	30.7099	9.63672	15056200000000	0.0000519876	19235.4
0.00000	0.00000	0.00000	33.3040	9.64506	30.6339	9.64506	14349100000000	0.0000516678	19354.4
0.00000	0.00000	0.00000	33.2303	9.65196	30.5588	9.65196	13679800000000	0.0000510636	19583.4
0.00000	0.00000	0.00000	33.1571	9.66070	30.4838	9.66070	13046500000000	0.0000510742	19579.4
0.00000	0.00000	0.00000	33.0831	9.66688	30.4086	9.66688	12435400000000	0.0000504199	19833.4
0.00000	0.00000	0.00000	33.0100	9.67336	30.3342	9.67336	11860000000000	0.0000499561	20017.6
0.00000	0.00000	0.00000	32.9366	9.68077	30.2593	9.68077	11309300000000	0.0000498554	20058.0
0.00000	0.00000	0.00000	32.8646	9.68654	30.1862	9.68654	10793300000000	0.0000493695	20255.4
0.00000	0.00000	0.00000	32.7924	9.69197	30.1130	9.69197	10299800000000	0.0000488414	20474.5
0.00000	0.00000	0.00000	32.7207	9.69891	30.0399	9.69891	9832290000000	0.0000489189	20442.0
0.00000	0.00000	0.00000	32.6492	9.70385	29.9675	9.70385	9386930000000	0.0000483972	20662.3
0.00000	0.00000	0.00000	32.5786	9.70778	29.8964	9.70778	8967220000000	0.0000476073	21005.2
0.00000	0.00000	0.00000	32.5085	9.71272	29.8254	9.71272	8568540000000	0.0000472570	21160.9
0.00000	0.00000	0.00000	32.4381	9.71898	29.7537	9.71898	8186270000000	0.0000474840	21059.7
0.00000	0.00000	0.00000	32.3677	9.72290	29.6828	9.72290	7821460000000	0.0000468877	21327.6
0.00000	0.00000	0.00000	32.2977	9.72679	29.6123	9.72679	7474400000000	0.0000463463	21576.7
