Vload_(V)	ILoad_(I)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(I)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)
0.00000	0.00000	0.00000	34.7106	9.49207	32.0992	9.49207	35674700000000	0.0000635562	15734.1
0.00000	0.00000	0.00000	34.6348	9.50936	32.0193	9.50936	33967000000000	0.0000632932	15799.5
0.00000	0.00000	0.00000	34.5599	9.52538	31.9407	9.52538	32360100000000	0.0000629774	15878.7
0.00000	0.00000	0.00000	34.4841	9.54066	31.8615	9.54066	30812000000000	0.0000626167	15970.2
0.00000	0.00000	0.00000	34.4097	9.55583	31.7837	9.55583	29363300000000	0.0000624157	16021.6
0.00000	0.00000	0.00000	34.3361	9.57019	31.7068	9.57019	27997300000000	0.0000622174	16072.7
0.00000	0.00000	0.00000	34.2620	9.58332	31.6298	9.58332	26685700000000	0.0000618740	16161.9
0.00000	0.00000	0.00000	34.1887	9.59578	31.5539	9.59578	25449900000000	0.0000615420	16249.1
0.00000	0.00000	0.00000	34.1155	9.60860	31.4779	9.60860	24272300000000	0.0000614084	16284.4
0.00000	0.00000	0.00000	34.0423	9.61997	31.4023	9.61997	23148600000000	0.0000610680	16375.2
0.00000	0.00000	0.00000	33.9697	9.63112	31.3274	9.63112	22085700000000	0.0000608118	16444.2
0.00000	0.00000	0.00000	33.8962	9.64077	31.2519	9.64077	21058800000000	0.0000602656	16593.2
0.00000	0.00000	0.00000	33.8242	9.65173	31.1777	9.65173	20099800000000	0.0000602121	16608.0
0.00000	0.00000	0.00000	33.7523	9.66082	31.1039	9.66082	19184400000000	0.0000597912	16724.9
0.00000	0.00000	0.00000	33.6806	9.67099	31.0301	9.67099	18313500000000	0.0000597768	16728.9
0.00000	0.00000	0.00000	33.6097	9.67843	30.9580	9.67843	17492500000000	0.0000591429	16908.2
0.00000	0.00000	0.00000	33.5385	9.68834	30.8847	9.68834	16703100000000	0.0000593046	16862.1
0.00000	0.00000	0.00000	33.4690	9.69513	30.8141	9.69513	15968500000000	0.0000587135	17031.9
0.00000	0.00000	0.00000	33.3995	9.70361	30.7429	9.70361	15264900000000	0.0000587373	17025.0
0.00000	0.00000	0.00000	33.3291	9.71086	30.6713	9.71086	14584800000000	0.0000584438	17110.5
0.00000	0.00000	0.00000	33.2600	9.71689	30.6012	9.71689	13946000000000	0.0000578740	17278.9
0.00000	0.00000	0.00000	33.1911	9.72459	30.5308	9.72459	13336600000000	0.0000579878	17245.0
0.00000	0.00000	0.00000	33.1222	9.73112	30.4608	9.73112	12754100000000	0.0000577925	17303.3
0.00000	0.00000	0.00000	33.0527	9.73616	30.3907	9.73616	12193200000000	0.0000571093	17510.3
0.00000	0.00000	0.00000	32.9837	9.74307	30.3205	9.74307	11659500000000	0.0000572468	17468.2
0.00000	0.00000	0.00000	32.9156	9.74869	30.2515	9.74869	11156200000000	0.0000570199	17537.7
0.00000	0.00000	0.00000	32.8468	9.75331	30.1822	9.75331	10669600000000	0.0000564327	17720.2
0.00000	0.00000	0.00000	32.7793	9.75762	30.1142	9.75762	10212800000000	0.0000558263	17912.7
0.00000	0.00000	0.00000	32.7114	9.76364	30.0453	9.76364	9773090000000	0.0000560520	17840.6
0.00000	0.00000	0.00000	32.6441	9.76865	29.9773	9.76865	9355730000000	0.0000559508	17872.9
0.00000	0.00000	0.00000	32.5770	9.77215	29.9099	9.77215	8957500000000	0.0000552148	18111.1
